Name,Religious Affiliation,Percent Admitted,Tuition,State,Region,Type,Urbanization,Enrollment,Percent American Indian,Percent Asian,Percent African American,Percent Hispanic,Percent Pacific Islander,Percent White,Percent Other Ethnicity,Percent Non Resident Alien,Graduation Rate,Percent Receiving Financial Aid,Percent Receiving Student Loan
University of Mississippi,No,59,6760,Mississippi,Southeast,Public,Town,16677,0,2,15,3,0,75,0,4,36,83,46
Mississippi University for Women,No,43,5640,Mississippi,Southeast,Public,Town,2429,0,1,37,1,0,58,0,2,22,99,67
Mississippi Valley State University,No,23,5916,Mississippi,Southeast,Public,Town,1926,0,0,89,1,0,3,6,0,11,96,85
Mississippi State University,No,65,6772,Mississippi,Southeast,Public,Town,16399,1,1,20,2,0,71,1,4,31,93,55
The University of Tennessee-Martin,No,77,7507,Tennessee,Southeast,Public,Town,7025,0,0,16,2,0,77,0,3,21,96,53
Tennessee Technological University,No,93,7063,Tennessee,Southeast,Public,Town,10052,0,1,4,2,0,81,0,8,22,98,44
Longwood University,No,81,11340,Virginia,Southeast,Public,Town,4497,0,1,8,4,0,79,3,1,42,69,56
Bluefield State College,No,43,5564,West Virginia,Southeast,Public,Town,1747,0,0,10,1,0,85,0,2,6,95,52
Concord University,No,46,6160,West Virginia,Southeast,Public,Town,2505,0,1,6,1,0,87,0,4,19,98,54
Glenville State College,No,74,6384,West Virginia,Southeast,Public,Town,1850,0,0,13,1,0,82,2,0,13,96,76
Eastern New Mexico University-Main Campus,No,63,4558,New Mexico,Southwest,Public,Town,4567,3,1,4,33,0,47,6,3,12,99,43
New Mexico Highlands University,No,,4000,New Mexico,Southwest,Public,Town,2396,6,1,5,52,0,23,5,6,9,95,39
New Mexico Institute of Mining and Technology,No,41,5714,New Mexico,Southwest,Public,Town,1604,3,4,2,23,0,60,1,5,19,96,35
Western New Mexico University,No,,4723,New Mexico,Southwest,Public,Town,2849,5,1,4,46,0,27,16,1,12,97,47
East Central University,No,98,5241,Oklahoma,Southwest,Public,Town,3757,16,0,4,4,0,60,2,5,17,85,42
Northeastern State University,No,73,4992,Oklahoma,Southwest,Public,Town,7418,22,2,5,4,0,53,3,2,12,94,48
Northwestern Oklahoma State University,No,60,5642,Oklahoma,Southwest,Public,Town,2077,7,1,6,6,0,68,8,4,13,96,40
Southwestern Oklahoma State University,No,90,5460,Oklahoma,Southwest,Public,Town,4162,4,3,5,7,0,70,2,3,14,95,74
Sul Ross State University,No,52,5436,Texas,Southwest,Public,Town,2003,0,0,5,61,0,29,2,1,14,94,75
Tarleton State University,No,57,5856,Texas,Southwest,Public,Town,11348,1,1,11,15,0,68,1,1,22,86,57
Mount Olive College,Yes,50,17300,North Carolina,Southeast,Private,Town,3414,2,1,33,4,0,47,10,3,26,100,66
Bethany Lutheran College,Yes,75,24080,Minnesota,Plains,Private,City,579,1,1,3,3,0,85,3,1,38,100,74
Graceland University-Lamoni,Yes,50,23530,Iowa,Plains,Private,Rural,1559,1,1,8,6,1,70,6,4,30,100,83
Bryn Athyn College of the New Church,Yes,52,17724,Pennsylvania,Mid East,Private,Suburb,270,0,3,14,6,1,68,0,9,6,100,83
Bethel College-North Newton,Yes,64,23500,Kansas,Plains,Private,Town,482,1,1,13,10,0,71,0,2,39,100,71
Oral Roberts University,Yes,44,22508,Oklahoma,Southwest,Private,City,2884,3,2,17,7,0,51,10,7,41,98,63
Grace Bible College,Yes,75,12235,Michigan,Great Lakes,Private,City,579,1,0,19,4,0,71,1,0,17,100,84
Kuyper College,Yes,68,18454,Michigan,Great Lakes,Private,Suburb,288,1,3,4,3,0,77,7,2,37,99,70
University of Northwestern-St Paul,Yes,69,28020,Minnesota,Plains,Private,Suburb,3149,0,4,4,1,0,86,3,1,51,99,75
Ohio Christian University,Yes,97,17720,Ohio,Great Lakes,Private,Town,3528,0,1,28,2,0,54,12,0,16,61,56
Southwestern Christian University,Yes,88,14220,Oklahoma,Southwest,Private,Suburb,804,3,1,27,7,0,40,11,7,35,93,74
Emmanuel College,Yes,48,16800,Georgia,Southeast,Private,Town,806,0,1,17,4,0,71,0,4,31,100,70
Whitworth University,Yes,65,36012,Washington,Far West,Private,Suburb,2358,1,3,2,7,0,79,1,2,65,98,62
Macalester College,Yes,34,45388,Minnesota,Plains,Private,City,2039,0,7,3,6,0,67,0,12,85,81,57
William Peace University,Yes,91,23900,North Carolina,Southeast,Private,City,1007,1,2,35,3,0,45,11,0,38,100,84
Queens University of Charlotte,Yes,77,29800,North Carolina,Southeast,Private,City,1734,1,3,17,5,0,58,10,5,44,97,59
Rhodes College,Yes,58,39794,Tennessee,Southeast,Private,City,2027,0,5,6,3,0,77,2,3,74,95,47
University of Tulsa,Yes,41,34835,Oklahoma,Southwest,Private,City,3428,5,3,4,4,0,54,3,25,51,88,32
Trinity University,Yes,64,34678,Texas,Southwest,Private,City,2161,0,7,3,17,0,56,6,7,72,94,42
Coe College,Yes,62,35730,Iowa,Plains,Private,City,1419,0,2,4,5,0,76,5,4,61,100,80
Eckerd College,Yes,71,37362,Florida,Southeast,Private,City,2173,1,1,6,8,0,76,1,4,59,97,81
Belhaven University,Yes,48,19970,Mississippi,Southeast,Private,City,2749,0,1,47,4,0,31,14,0,25,100,69
Millikin University,Yes,55,28644,Illinois,Great Lakes,Private,City,2153,0,1,12,5,0,76,0,2,48,100,82
Carroll University,Yes,81,27724,Wisconsin,Great Lakes,Private,City,3119,0,2,1,6,0,85,2,2,42,100,78
Wilson College,Yes,53,29370,Pennsylvania,Mid East,Private,City,571,0,1,2,2,0,64,25,4,44,95,76
University of Dubuque,Yes,77,25520,Iowa,Plains,Private,City,1694,1,1,11,6,0,64,13,1,29,94,81
Stillman College,Yes,43,15901,Alabama,Southeast,Private,City,863,0,0,92,1,0,6,0,0,17,100,78
King University,Yes,64,24960,Tennessee,Southeast,Private,City,2191,0,1,5,2,0,81,7,3,45,92,69
Mary Baldwin College,Yes,88,28720,Virginia,Southeast,Private,City,1441,1,3,22,5,0,59,7,0,39,100,81
Austin College,Yes,59,33830,Texas,Southwest,Private,City,1207,2,15,6,16,0,58,1,3,67,99,81
Lees-McRae College,Yes,66,24150,North Carolina,Southeast,Private,Rural,890,0,0,5,1,0,39,52,2,30,100,73
Bloomfield College,Yes,55,25880,New Jersey,Mid East,Private,Suburb,1972,0,4,50,21,0,13,7,3,14,96,89
Arcadia University,Yes,60,36810,Pennsylvania,Mid East,Private,Suburb,2453,0,4,9,4,0,69,7,3,53,100,85
Lafayette College,Yes,34,44670,Pennsylvania,Mid East,Private,Suburb,2486,0,3,5,6,0,68,10,6,85,63,48
Agnes Scott College,Yes,67,34788,Georgia,Southeast,Private,Suburb,915,0,4,33,9,0,31,4,12,66,100,76
Davidson College,Yes,26,42849,North Carolina,Southeast,Private,Suburb,1788,1,5,7,6,0,69,3,6,90,62,18
Montreat College,Yes,54,23520,North Carolina,Southeast,Private,Suburb,743,2,1,21,3,0,58,10,3,26,100,77
Maryville College,Yes,73,31132,Tennessee,Southeast,Private,Suburb,1168,1,1,7,3,0,82,0,4,47,100,75
Blackburn College,Yes,68,18506,Illinois,Great Lakes,Private,Town,543,1,0,9,1,0,87,0,0,34,99,87
Illinois College,Yes,61,27800,Illinois,Great Lakes,Private,Town,1010,0,1,12,7,0,73,1,3,56,100,78
Hanover College,Yes,67,31760,Indiana,Great Lakes,Private,Town,1163,0,1,4,2,0,82,2,5,68,100,82
Alma College,Yes,68,32660,Michigan,Great Lakes,Private,Town,1419,1,2,2,3,0,86,3,1,43,100,95
Muskingum University,Yes,76,23662,Ohio,Great Lakes,Private,Town,1728,0,0,5,1,0,73,14,4,29,100,92
Waynesburg University,Yes,75,20540,Pennsylvania,Mid East,Private,Town,1598,0,1,3,1,0,92,2,0,45,96,86
College of the Ozarks,Yes,13,18330,Missouri,Plains,Private,Town,1513,1,1,1,2,0,92,1,2,50,100,3
Westminster College,Yes,72,21680,Missouri,Plains,Private,Town,1026,2,1,6,3,0,66,3,17,52,100,76
Hastings College,Yes,74,25520,Nebraska,Plains,Private,Town,1118,1,2,3,5,1,85,1,1,43,100,77
Centre College,Yes,69,36020,Kentucky,Southeast,Private,Town,1381,0,2,5,2,0,83,0,4,80,97,48
St Andrews University,Yes,64,23332,North Carolina,Southeast,Private,Town,595,2,1,14,1,0,61,10,9,4,100,75
Presbyterian College,Yes,66,33650,South Carolina,Southeast,Private,Town,1123,1,3,12,2,0,77,1,3,60,100,65
Tusculum College,Yes,72,22250,Tennessee,Southeast,Private,Town,1844,1,0,11,2,0,84,0,2,18,99,75
Westminster College,Yes,73,32445,Pennsylvania,Mid East,Private,Town,1313,0,0,3,1,0,81,13,0,63,100,83
Monmouth College,Yes,64,31500,Illinois,Great Lakes,Private,Town,1255,1,1,13,11,0,66,5,2,57,100,84
Buena Vista University,Yes,70,29448,Iowa,Plains,Private,Town,2293,0,1,2,5,0,82,7,2,43,98,92
Missouri Valley College,Yes,22,18300,Missouri,Plains,Private,Town,1656,1,1,18,5,0,62,2,12,15,100,80
University of Jamestown,Yes,57,18494,North Dakota,Plains,Private,Town,955,1,2,3,5,0,84,0,6,33,100,79
Lyon College,Yes,59,23594,Arkansas,Southeast,Private,Town,592,2,1,4,5,0,77,8,3,43,100,71
University of the Ozarks,Yes,61,24350,Arkansas,Southeast,Private,Town,585,1,0,5,9,0,69,1,11,34,98,64
University of Pikeville,Yes,100,17750,Kentucky,Southeast,Private,Town,1738,0,1,8,1,0,87,0,1,16,100,95
Davis & Elkins College,Yes,57,24992,West Virginia,Southeast,Private,Town,874,1,0,4,0,0,64,17,13,22,100,66
Schreiner University,Yes,93,22484,Texas,Southwest,Private,Town,1065,0,1,3,29,0,63,0,0,35,100,78
Saint Augustine's University,Yes,67,17890,North Carolina,Southeast,Private,City,1299,0,0,97,0,0,1,1,2,22,85,70
Sewanee-The University of the South,Yes,60,35756,Tennessee,Southeast,Private,Rural,1620,0,2,5,4,0,83,0,3,76,77,16
Voorhees College,Yes,51,10780,South Carolina,Southeast,Private,Rural,536,0,0,98,1,0,1,0,1,20,99,91
Hope College,Yes,73,28720,Michigan,Great Lakes,Private,City,3388,0,2,2,7,0,85,0,2,68,94,59
Central College,Yes,66,30700,Iowa,Plains,Private,Town,1386,0,1,2,3,0,86,4,1,62,100,80
Northwestern College,Yes,76,26764,Iowa,Plains,Private,Town,1233,0,1,2,6,0,84,2,3,53,100,70
Erskine College,Yes,70,31580,South Carolina,Southeast,Private,Rural,605,0,1,16,3,0,60,21,0,52,100,74
Geneva College,Yes,68,25220,Pennsylvania,Mid East,Private,Suburb,1541,0,0,8,1,0,89,0,1,59,100,97
Holy Names University,Yes,57,33020,California,Far West,Private,City,888,0,16,22,24,3,23,6,2,25,100,89
Loyola Marymount University,Yes,54,40265,California,Far West,Private,City,6205,0,11,6,23,0,47,1,5,67,90,49
Mount St Mary's College,Yes,74,33852,California,Far West,Private,City,2625,0,15,8,53,1,14,6,1,52,100,97
University of San Diego,Yes,49,41392,California,Far West,Private,City,5665,1,7,3,17,0,54,6,7,65,76,46
University of San Francisco,Yes,61,40294,California,Far West,Private,City,6392,0,18,4,17,0,34,5,15,57,71,52
Chaminade University of Honolulu,Yes,84,20090,Hawaii,Far West,Private,City,2036,1,27,5,6,14,16,19,1,27,100,84
University of Portland,Yes,67,38670,Oregon,Far West,Private,City,3494,0,9,1,9,1,64,3,5,70,97,53
Seattle University,Yes,73,36465,Washington,Far West,Private,City,4608,1,14,4,8,1,50,8,9,59,96,61
DePaul University,Yes,60,33990,Illinois,Great Lakes,Private,City,16420,0,7,9,14,0,55,6,6,54,95,58
Loyola University Chicago,Yes,91,35573,Illinois,Great Lakes,Private,City,10168,0,9,6,11,0,62,3,5,60,96,69
Saint Xavier University,Yes,51,28970,Illinois,Great Lakes,Private,City,2920,0,3,18,19,0,53,6,0,30,100,83
Marian University,Yes,58,28400,Indiana,Great Lakes,Private,City,2203,0,2,13,4,0,74,4,0,28,99,83
University of Saint Francis-Fort Wayne,Yes,54,25180,Indiana,Great Lakes,Private,City,1980,0,1,6,6,0,82,2,1,33,100,83
University of Detroit Mercy,Yes,61,35920,Michigan,Great Lakes,Private,City,2888,0,5,10,3,0,49,20,12,35,99,68
Marygrove College,Yes,94,19850,Michigan,Great Lakes,Private,City,1041,0,0,48,2,0,39,8,1,8,99,87
Ohio Dominican University,Yes,49,28932,Ohio,Great Lakes,Private,City,2005,0,1,20,3,0,70,2,1,29,100,81
Xavier University,Yes,70,33000,Ohio,Great Lakes,Private,City,4620,0,3,9,4,0,75,4,3,66,100,63
Alverno College,Yes,79,23231,Wisconsin,Great Lakes,Private,City,1862,1,4,17,15,0,58,0,2,11,100,90
Marquette University,Yes,57,34640,Wisconsin,Great Lakes,Private,City,8365,0,4,4,8,0,71,5,5,57,100,51
Mount Mary University,Yes,54,25098,Wisconsin,Great Lakes,Private,City,926,0,5,17,10,0,63,1,1,21,100,85
Catholic University of America,Yes,60,38526,District of Columbia,Mid East,Private,City,3713,0,3,8,8,0,56,14,8,62,95,63
Georgetown University,Yes,17,44805,District of Columbia,Mid East,Private,City,7636,0,8,6,6,0,53,8,15,88,53,26
Trinity Washington University,Yes,52,21630,District of Columbia,Mid East,Private,City,1853,0,1,70,11,0,4,11,1,15,99,80
Loyola University Maryland,Yes,58,43250,Maryland,Mid East,Private,City,4004,0,3,8,8,0,77,1,1,79,81,57
Notre Dame of Maryland University,Yes,50,32050,Maryland,Mid East,Private,City,1234,1,7,22,4,0,64,1,1,45,99,73
Saint Peter's University,Yes,54,32284,New Jersey,Mid East,Private,City,2484,1,9,27,26,0,28,4,2,34,100,68
Canisius College,Yes,73,33332,New York,Mid East,Private,City,3084,0,2,7,3,0,75,8,4,58,99,74
Fordham University,Yes,47,43902,New York,Mid East,Private,City,8345,0,8,6,12,0,56,4,11,76,92,60
Manhattan College,Yes,66,35725,New York,Mid East,Private,City,3403,0,4,4,17,0,57,14,3,60,92,67
College of Mount Saint Vincent,Yes,73,30290,New York,Mid East,Private,City,1669,0,9,17,32,0,26,8,3,37,100,89
St John's University-New York,Yes,53,37260,New York,Mid East,Private,City,15773,0,16,14,15,0,42,4,7,36,98,83
Carlow University,Yes,95,25416,Pennsylvania,Mid East,Private,City,2100,0,1,13,2,0,48,35,0,47,100,99
Chestnut Hill College,Yes,58,31170,Pennsylvania,Mid East,Private,City,1517,0,2,30,7,0,46,11,2,27,98,79
Duquesne University,Yes,74,31385,Pennsylvania,Mid East,Private,City,5970,0,2,5,2,0,81,2,6,66,100,74
Holy Family University,Yes,76,27100,Pennsylvania,Mid East,Private,City,2182,0,3,7,5,0,56,27,0,38,100,84
La Salle University,Yes,80,38200,Pennsylvania,Mid East,Private,City,4409,0,5,17,7,0,58,6,2,55,99,83
Saint Joseph's University,Yes,79,39040,Pennsylvania,Mid East,Private,City,5374,0,3,10,4,0,72,5,5,70,97,61
Emmanuel College,Yes,60,34670,Massachusetts,New England,Private,City,2176,0,3,6,5,0,66,16,1,51,99,80
Newman University,Yes,45,23650,Kansas,Plains,Private,City,2795,1,5,4,10,0,74,1,2,33,99,57
University of St Thomas,Yes,86,35308,Minnesota,Plains,Private,City,6321,0,4,4,3,0,79,3,4,63,97,61
St Catherine University,Yes,61,34744,Minnesota,Plains,Private,City,3559,1,8,8,4,0,71,6,1,38,100,81
Avila University,Yes,61,24950,Missouri,Plains,Private,City,1401,1,1,19,7,0,61,0,9,26,100,76
Rockhurst University,Yes,75,31290,Missouri,Plains,Private,City,2241,0,3,6,5,0,76,7,1,60,100,93
Saint Louis University,Yes,64,36726,Missouri,Plains,Private,City,12567,0,6,6,3,0,70,4,6,61,93,54
Creighton University,Yes,77,34330,Nebraska,Plains,Private,City,4076,0,9,4,5,0,73,3,2,67,100,82
College of Saint Mary,Yes,57,26934,Nebraska,Plains,Private,City,735,0,2,6,10,0,80,0,0,27,100,71
Regis University,Yes,70,32424,Colorado,Rocky Mountains,Private,City,5172,1,4,6,14,0,63,9,1,42,98,54
Bellarmine University,Yes,95,34890,Kentucky,Southeast,Private,City,2593,0,2,4,3,0,84,3,2,53,100,65
Spalding University,Yes,81,22425,Kentucky,Southeast,Private,City,1371,0,1,20,2,0,61,11,1,18,99,67
Loyola University New Orleans,Yes,87,36860,Louisiana,Southeast,Private,City,2946,1,3,15,13,0,56,7,3,44,98,67
Our Lady of Holy Cross College,Yes,48,9950,Louisiana,Southeast,Private,City,878,1,4,25,6,0,53,8,0,5,81,61
Xavier University of Louisiana,Yes,54,20560,Louisiana,Southeast,Private,City,2504,0,13,71,3,0,6,1,3,27,99,67
Aquinas College,Yes,52,20550,Tennessee,Southeast,Private,City,505,0,3,7,3,1,74,6,3,44,100,72
Christian Brothers University,Yes,47,28210,Tennessee,Southeast,Private,City,1168,0,6,31,5,0,50,1,4,31,100,66
University of the Incarnate Word,Yes,93,24790,Texas,Southwest,Private,City,6491,0,4,7,54,0,23,6,5,19,100,71
Our Lady of the Lake University,Yes,66,23938,Texas,Southwest,Private,City,1555,1,1,10,61,0,18,8,1,19,97,81
Saint Edward's University,Yes,79,33720,Texas,Southwest,Private,City,4089,0,3,4,35,0,46,1,7,51,90,61
University of St Thomas,Yes,77,28240,Texas,Southwest,Private,City,1572,0,8,12,32,0,33,2,11,27,92,43
St Mary's University,Yes,58,25126,Texas,Southwest,Private,City,2393,1,3,4,56,0,24,5,8,33,98,75
Santa Clara University,Yes,51,42156,California,Far West,Private,City,5435,0,16,2,14,0,42,9,11,77,84,41
Gonzaga University,Yes,67,35062,Washington,Far West,Private,City,4896,1,3,2,8,0,69,6,6,71,99,55
Aquinas College,Yes,71,26460,Michigan,Great Lakes,Private,City,1863,0,1,3,5,0,85,3,1,30,99,73
University of Dayton,Yes,53,35800,Ohio,Great Lakes,Private,City,7975,0,1,4,2,0,76,3,13,60,98,85
Edgewood College,Yes,77,24666,Wisconsin,Great Lakes,Private,City,1998,0,2,3,5,0,77,5,4,32,100,75
Le Moyne College,Yes,62,30460,New York,Mid East,Private,City,2785,1,3,5,5,0,78,6,0,63,100,77
Gannon University,Yes,80,27546,Pennsylvania,Mid East,Private,City,3111,0,2,4,2,0,79,2,10,48,100,85
Mercyhurst University,Yes,75,30300,Pennsylvania,Mid East,Private,City,2680,0,1,4,2,0,76,9,8,54,100,69
Albertus Magnus College,Yes,68,28378,Connecticut,New England,Private,City,1278,0,1,27,12,0,45,13,0,0,83,78
Assumption College,Yes,74,34975,Massachusetts,New England,Private,City,2240,0,2,4,7,0,71,14,1,70,99,78
College of the Holy Cross,Yes,33,44272,Massachusetts,New England,Private,City,2912,0,4,4,11,0,68,9,1,89,72,57
Providence College,Yes,60,43245,Rhode Island,New England,Private,City,4135,0,1,4,6,0,77,8,2,83,81,57
Mount Mercy University,Yes,68,26310,Iowa,Plains,Private,City,1476,1,2,4,2,0,84,4,3,66,85,66
Saint Ambrose University,Yes,96,26740,Iowa,Plains,Private,City,2743,0,1,3,6,0,81,5,2,47,100,93
Donnelly College,Yes,,6579,Kansas,Plains,Private,City,474,1,7,30,42,0,11,1,6,,92,8
Spring Hill College,Yes,46,30924,Alabama,Southeast,Private,City,1292,1,1,16,8,0,68,3,1,47,100,64
Marymount University,Yes,83,26430,Virginia,Southeast,Private,City,2396,0,8,14,12,0,48,5,8,44,95,75
University of Dallas,Yes,90,33110,Texas,Southwest,Private,City,1380,0,7,8,15,0,56,2,9,56,100,58
Madonna University,Yes,61,16340,Michigan,Great Lakes,Private,City,3352,0,1,12,3,0,63,4,15,31,92,54
Franciscan University of Steubenville,Yes,76,23160,Ohio,Great Lakes,Private,City,2112,0,2,1,9,0,76,10,1,61,97,87
Marian University,Yes,76,24650,Wisconsin,Great Lakes,Private,City,1688,1,1,5,4,0,85,2,1,30,100,81
Viterbo University,Yes,71,23330,Wisconsin,Great Lakes,Private,City,2079,0,2,2,2,0,91,1,1,31,99,72
Georgian Court University,Yes,78,29606,New Jersey,Mid East,Private,City,1567,0,2,11,10,0,56,19,1,25,99,84
Alvernia University,Yes,78,29060,Pennsylvania,Mid East,Private,City,2371,0,1,14,6,0,70,6,0,35,100,91
King's College,Yes,72,30310,Pennsylvania,Mid East,Private,City,2144,0,2,2,6,0,82,6,0,61,100,89
Marywood University,Yes,71,30690,Pennsylvania,Mid East,Private,City,2148,0,2,2,4,0,74,13,4,54,100,81
University of Scranton,Yes,75,38754,Pennsylvania,Mid East,Private,City,3942,0,3,3,7,0,79,5,2,75,95,70
University of Saint Joseph,Yes,86,33417,Connecticut,New England,Private,City,1049,0,5,8,7,0,55,24,1,37,100,90
Boston College,Yes,32,45622,Massachusetts,New England,Private,City,9698,0,8,4,9,0,57,11,8,89,59,44
Rivier University,Yes,89,28055,New Hampshire,New England,Private,City,1591,0,3,3,4,0,77,11,0,43,100,87
Briar Cliff University,Yes,,26650,Iowa,Plains,Private,City,1042,1,2,6,8,0,79,0,4,40,97,89
Clarke University,Yes,78,28000,Iowa,Plains,Private,City,1011,1,1,3,3,0,86,5,1,59,99,85
Loras College,Yes,69,28852,Iowa,Plains,Private,City,1554,0,1,2,6,0,81,6,2,48,100,78
The College of Saint Scholastica,Yes,73,31612,Minnesota,Plains,Private,City,2917,1,2,3,2,0,75,11,3,59,100,70
University of Great Falls,Yes,73,20960,Montana,Rocky Mountains,Private,City,1046,3,2,2,6,0,77,6,2,17,97,65
Brescia University,Yes,45,19640,Kentucky,Southeast,Private,City,928,0,1,11,6,0,67,13,1,16,100,93
Wheeling Jesuit University,Yes,69,27830,West Virginia,Southeast,Private,City,1180,0,1,4,2,0,82,8,2,42,100,74
Thomas Aquinas College,Yes,79,24500,California,Far West,Private,Rural,366,0,1,0,15,0,73,2,3,73,82,77
Saint Catharine College,Yes,,18106,Kentucky,Southeast,Private,Rural,748,1,0,9,3,0,86,1,1,18,99,86
Ave Maria University,Yes,60,23000,Florida,Southeast,Private,Rural,906,1,2,5,14,0,55,20,3,55,100,58
Saint Mary's College of California,Yes,69,39890,California,Far West,Private,Rural,3055,0,11,5,22,1,46,9,2,50,91,67
Saint Mary-of-the-Woods College,Yes,98,27672,Indiana,Great Lakes,Private,Rural,649,1,1,4,1,0,81,9,2,49,100,81
DeSales University,Yes,76,31250,Pennsylvania,Mid East,Private,Rural,2482,1,3,4,8,0,73,12,0,63,99,78
Saint Joseph's College of Maine,Yes,78,30990,Maine,New England,Private,Rural,1276,0,2,3,2,0,62,31,0,49,98,87
Anna Maria College,Yes,78,32134,Massachusetts,New England,Private,Rural,1143,0,1,8,6,0,71,10,0,43,100,94
Saint Johns University,Yes,75,37162,Minnesota,Plains,Private,Rural,1871,1,3,3,4,0,83,0,5,71,100,65
University of Mary,Yes,83,14730,North Dakota,Plains,Private,Rural,2044,2,1,3,3,0,79,8,3,28,100,64
Saint Gregory's University,Yes,95,20595,Oklahoma,Southwest,Private,Rural,633,10,1,7,14,0,49,18,0,15,95,71
Notre Dame de Namur University,Yes,87,31126,California,Far West,Private,Suburb,1213,1,12,5,27,2,34,10,5,36,100,76
Marylhurst University,Yes,39,19665,Oregon,Far West,Private,Suburb,741,0,3,5,6,1,72,3,6,0,100,75
Benedictine University,Yes,69,25516,Illinois,Great Lakes,Private,Suburb,3828,0,11,11,6,0,45,24,2,38,96,70
Lewis University,Yes,56,26780,Illinois,Great Lakes,Private,Suburb,4613,0,3,10,15,0,63,5,1,45,99,77
Dominican University,Yes,60,28810,Illinois,Great Lakes,Private,Suburb,2069,0,4,8,29,0,51,5,2,50,100,77
University of St Francis,Yes,51,27970,Illinois,Great Lakes,Private,Suburb,1780,0,2,8,10,0,72,3,1,32,100,77
Calumet College of Saint Joseph,Yes,40,15620,Indiana,Great Lakes,Private,Suburb,988,1,0,28,30,0,41,0,0,18,95,77
Holy Cross College,Yes,72,25450,Indiana,Great Lakes,Private,Suburb,524,0,2,6,9,0,73,4,6,42,100,66
University of Notre Dame,Yes,22,44605,Indiana,Great Lakes,Private,Suburb,8477,0,5,3,9,0,66,5,9,90,69,39
Saint Mary's College,Yes,86,34600,Indiana,Great Lakes,Private,Suburb,1479,0,1,1,12,0,77,4,2,67,98,59
John Carroll University,Yes,83,34480,Ohio,Great Lakes,Private,Suburb,3040,0,2,6,3,0,82,4,1,65,100,67
Lourdes University,Yes,69,17655,Ohio,Great Lakes,Private,Suburb,1806,0,1,16,6,0,71,3,0,7,98,96
College of Mount St Joseph,Yes,88,25800,Ohio,Great Lakes,Private,Suburb,1795,0,0,9,2,0,77,9,0,39,100,86
Notre Dame College,Yes,90,26344,Ohio,Great Lakes,Private,Suburb,1989,0,1,21,1,0,66,5,3,18,100,83
Ursuline College,Yes,58,26720,Ohio,Great Lakes,Private,Suburb,805,0,1,25,2,0,66,2,1,28,100,100
Walsh University,Yes,77,25840,Ohio,Great Lakes,Private,Suburb,2385,0,1,4,2,0,74,15,2,44,100,93
Cardinal Stritch University,Yes,84,25450,Wisconsin,Great Lakes,Private,Suburb,2693,0,2,23,6,0,61,3,2,29,100,84
Caldwell College,Yes,64,29000,New Jersey,Mid East,Private,Suburb,1578,0,1,5,5,0,24,62,3,35,98,93
Felician College,Yes,88,29990,New Jersey,Mid East,Private,Suburb,1621,1,8,20,23,1,40,4,2,24,100,84
Seton Hall University,Yes,79,35820,New Jersey,Mid East,Private,Suburb,5839,0,7,12,13,0,52,10,5,50,98,63
College of Saint Elizabeth,Yes,48,31095,New Jersey,Mid East,Private,Suburb,987,0,3,22,13,0,45,13,3,41,99,82
Hilbert College,Yes,81,19940,New York,Mid East,Private,Suburb,1020,2,0,9,3,0,72,10,1,31,98,84
Iona College,Yes,92,32770,New York,Mid East,Private,Suburb,3539,0,2,7,16,0,53,18,3,53,98,74
Molloy College,Yes,73,25710,New York,Mid East,Private,Suburb,3375,0,8,14,13,1,62,2,0,39,97,97
Mount Saint Mary College,Yes,86,26250,New York,Mid East,Private,Suburb,2203,1,2,7,12,0,64,13,0,41,99,75
Niagara University,Yes,66,28200,New York,Mid East,Private,Suburb,2896,1,1,5,4,0,64,7,17,60,98,78
Siena College,Yes,68,31368,New York,Mid East,Private,Suburb,3151,0,4,4,6,0,81,1,1,74,98,76
Saint John Fisher College,Yes,63,28430,New York,Mid East,Private,Suburb,2959,0,3,5,4,0,81,4,1,65,100,84
Cabrini College,Yes,74,29000,Pennsylvania,Mid East,Private,Suburb,1337,0,1,11,4,0,73,9,0,39,99,95
Gwynedd Mercy University,Yes,66,29450,Pennsylvania,Mid East,Private,Suburb,2062,0,5,23,4,0,63,4,0,50,100,88
Immaculata University,Yes,80,30740,Pennsylvania,Mid East,Private,Suburb,2560,0,2,14,4,0,75,2,1,39,100,93
La Roche College,Yes,56,24778,Pennsylvania,Mid East,Private,Suburb,1363,0,1,6,1,0,63,15,12,33,91,75
Misericordia University,Yes,65,28210,Pennsylvania,Mid East,Private,Suburb,2417,0,1,1,2,0,94,0,0,64,100,83
Neumann University,Yes,55,24948,Pennsylvania,Mid East,Private,Suburb,2573,0,1,17,2,0,53,23,1,29,100,94
Rosemont College,Yes,58,30950,Pennsylvania,Mid East,Private,Suburb,531,0,3,34,6,0,42,11,1,46,100,88
Saint Vincent College,Yes,69,30350,Pennsylvania,Mid East,Private,Suburb,1596,0,2,5,3,0,85,3,1,64,100,92
Seton Hill University,Yes,65,30300,Pennsylvania,Mid East,Private,Suburb,1958,0,1,7,2,0,83,2,2,45,100,95
Villanova University,Yes,49,44430,Pennsylvania,Mid East,Private,Suburb,7042,0,6,5,6,0,73,4,3,86,66,49
Fairfield University,Yes,71,42920,Connecticut,New England,Private,Suburb,3873,0,2,2,7,0,62,23,4,79,89,56
Sacred Heart University,Yes,76,35050,Connecticut,New England,Private,Suburb,4489,0,2,4,6,0,68,17,2,63,95,68
